layer,unit,description,similarity,sim correlation
encoder.layers.encoder_layer_22,293,terrier,0.33657837,0.16128601133823395
encoder.layers.encoder_layer_22,294,pancreatic,0.18600464,0.07601651549339294
encoder.layers.encoder_layer_22,295,mating,0.32421875,0.18946020305156708
encoder.layers.encoder_layer_22,296,gymnastics,0.22018433,0.11662540584802628
encoder.layers.encoder_layer_22,297,gymnastics,0.19543457,0.11743509024381638
encoder.layers.encoder_layer_22,298,specimen,0.12768555,0.04920468106865883
encoder.layers.encoder_layer_22,299,crochet,0.13531494,0.046575333923101425
encoder.layers.encoder_layer_22,300,sharks,0.089416504,0.07915933430194855
encoder.layers.encoder_layer_22,301,fungi,0.14059448,0.08642140030860901
encoder.layers.encoder_layer_22,302,bloodhound,0.39120483,0.16933979094028473
encoder.layers.encoder_layer_22,303,spider,0.27859497,0.16006430983543396
encoder.layers.encoder_layer_22,304,baseball,0.23757935,0.1080012246966362
encoder.layers.encoder_layer_22,305,carts,0.1479187,-0.015089615248143673
encoder.layers.encoder_layer_22,306,wildlife,0.2006836,0.19856861233711243
encoder.layers.encoder_layer_22,307,otter,0.10095215,0.08627241104841232
encoder.layers.encoder_layer_22,308,ipod,0.2243042,0.06766373664140701
encoder.layers.encoder_layer_22,309,helmet,0.23495483,0.1683192253112793
encoder.layers.encoder_layer_22,310,hawk,0.16461182,0.10541524738073349
encoder.layers.encoder_layer_22,311,tennis,0.15679932,0.09162666648626328
encoder.layers.encoder_layer_22,312,mating,0.31350708,0.1480645090341568
encoder.layers.encoder_layer_22,313,rifles,0.21881104,0.08598508685827255
encoder.layers.encoder_layer_22,314,dotted,0.15014648,0.048166222870349884
encoder.layers.encoder_layer_22,315,juvenile,0.2899475,-0.015991462394595146
encoder.layers.encoder_layer_22,316,tournament,0.33032227,0.11410164833068848
encoder.layers.encoder_layer_22,317,web,0.24710083,-0.01710825227200985
encoder.layers.encoder_layer_22,318,zebra,0.36914062,0.11077190935611725
encoder.layers.encoder_layer_22,319,dog,0.22198486,0.4219664931297302
encoder.layers.encoder_layer_22,320,shuttle,0.2425232,0.0638660192489624
encoder.layers.encoder_layer_22,321,shellfish,0.19552612,0.1621994823217392
encoder.layers.encoder_layer_22,322,seals,0.17501831,0.07062471657991409
encoder.layers.encoder_layer_22,323,terrier,0.29101562,0.15424413979053497
encoder.layers.encoder_layer_22,324,textile,0.36761475,0.06989824771881104
encoder.layers.encoder_layer_22,325,checker,0.13781738,0.06617152690887451
encoder.layers.encoder_layer_22,326,retrieving,0.13143921,0.11153017729520798
encoder.layers.encoder_layer_22,327,bloodhound,0.28564453,0.030127951875329018
encoder.layers.encoder_layer_22,328,organ,0.30145264,0.11885066330432892
encoder.layers.encoder_layer_22,329,airborne,0.15774536,0.051982294768095016
encoder.layers.encoder_layer_22,330,weights,0.13470459,0.033122576773166656
encoder.layers.encoder_layer_22,331,kayaking,0.20495605,0.08036839962005615
encoder.layers.encoder_layer_22,332,landscapes,0.15081787,0.1868044137954712
encoder.layers.encoder_layer_22,333,swan,0.33035278,0.15858756005764008
encoder.layers.encoder_layer_22,334,terrier,0.3600464,0.14067913591861725
encoder.layers.encoder_layer_22,335,juvenile,0.27313232,0.1424439400434494
