layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation,sim ablation(optim),sim ablation(norm)
layer4,91,0.438978168,1.8002855,Curly-coated Retriever,1.6867585,poodle,1.5804595,Bedlington Terrier,0.5611573,even-toed ungulate,0.45613983,musical instrument,0.26485342,bird,0,0,0,0,0,0,0,0,0.313979924,0.414776295,0.096010268,0.079208612
layer4,92,0.448873996,2.647478,entertainment center,0.93805975,butterfly,0.82999605,terrier,0.79992694,arachnid,0.51190335,ungulate,0,0,0,0,0,0,0,0,0,0,0.408422917,0.483622789,0.14041388,0.122997463
layer4,93,0.383133434,2.608054,Komondor,2.1274292,three-toed sloth,2.0610175,echidna,1.702395,cleaning implement,1.404492,cabbage,0.9563088,rodent,0.81195045,toiletry,0,0,0,0,0,0,0.432674378,0.318267047,0.056860685,0.044076443
layer4,94,0.393673544,1.3298706,military hat (bearskin or shako),1.0266982,Pickelhaube,0.8874026,baby bed,0.44577116,musical instrument,0.40436867,clothing,0.14159168,mammal,0,0,0,0,0,0,0,0,0.306349516,0.279076844,0.034976423,0.037373006
layer4,95,0.480477337,0.9322228,bird,0.5527362,craft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493622631,0.392812669,0.056252599,0.068856418
layer4,96,0.298873113,1.3136839,Groenendael dog,1.2197311,mink,1.1380764,glass,0.9518032,bottle,0,0,0,0,0,0,0,0,0,0,0,0,0.472115815,0.244927868,0.039854169,0.047149241
layer4,97,0.35201269,2.494062,mosque,2.123048,corkscrew,1.2894883,woodwind,1.1234087,antelope,0.49555188,diapsid,0.30668238,implement,0,0,0,0,0,0,0,0,0.481728166,0.265747517,0.036845624,0.019002974
layer4,98,0.348331807,2.296938,T-shirt,1.2486414,sweatshirt,1.1759855,abaya,0.983951,water tower,0,0,0,0,0,0,0,0,0,0,0,0,0.4031609,0.298551291,0.07079798,0.090948403
layer4,99,0.387582339,2.1047812,hippopotamus,1.8310342,water buffalo,1.4075874,sea lion,0.6583111,primate,0,0,0,0,0,0,0,0,0,0,0,0,0.442768723,0.296965659,0.052198231,0.032364547
layer4,100,0.381733213,0.92769486,sandwich,0.51830685,matter,0.3391649,appliance,0.17826043,dog,0,0,0,0,0,0,0,0,0,0,0,0,0.312498868,0.22793065,0.023670912,0.029563248
layer4,101,0.27791343,1.2872822,safety pin,1.2512585,teapot,1.1525179,orthopterous insect,1.0750202,bell or wind chime,0.35341164,terrier,0,0,0,0,0,0,0,0,0,0,0.434676707,0.281618387,0.039354801,0.02551055
layer4,102,0.378524073,2.559844,crossword,1.5112641,snow leopard,1.4835113,comic book,0.8211537,tracked vehicle,0.43540075,reptile,0,0,0,0,0,0,0,0,0,0,0.410702884,0.335160285,0.037323356,0.036477625
layer4,103,0.466194806,1.0265659,musteline mammal,0.4390996,vertebrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309303612,0.305599183,0.068627834,0.067039907
layer4,104,0.306139002,1.7422607,manhole cover,1.0203226,weight,0.20900233,artifact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335155785,0.179948971,0.005019188,0.004488766
layer4,105,0.417636111,1.885906,Old English Sheepdog,1.2775365,corgi,1.1952647,Miniature Schnauzer,1.0387068,sennenhunde,0.49704874,measuring instrument,0.20956546,carnivore,0,0,0,0,0,0,0,0,0.363819003,0.346718103,0.076544523,0.054015338
layer4,106,0.343991624,1.1347284,swimsuit,1.0857605,mortar and pestle,0.84015924,weapon,0.6655904,footwear,0.12154982,instrumentality,0,0,0,0,0,0,0,0,0,0,0.365061313,0.250270456,0.024956644,0.029806674
layer4,107,0.359097446,1.6759311,Old English Sheepdog,1.535819,West Highland White Terrier,1.0360239,recreational vehicle,0.91334087,bird of prey,0.7607246,wolfhound,0.3750095,primate,0,0,0,0,0,0,0,0,0.382597625,0.315864384,0.058461368,0.019598365
layer4,108,0.486220143,1.886621,locomotive,1.3742088,fungus,1.0655416,bony fish,0.580721,invertebrate,0.42705473,fruit,0,0,0,0,0,0,0,0,0,0,0.420746386,0.483084917,0.093275547,0.092672825
layer4,109,0.333864136,1.8546506,Komodo dragon,1.5716721,Gila monster,1.3933613,elephant,0.22829235,hunting dog,0,0,0,0,0,0,0,0,0,0,0,0,0.39657256,0.288170815,0.040839553,0.011010826
layer4,110,0.433539303,1.9437693,payphone,1.8970046,filing cabinet,1.5366905,birdhouse,1.4583248,photocopier,0.9890165,piano,0.28582636,artifact,0,0,0,0,0,0,0,0,0.358671904,0.340536594,0.037754834,0.016846836
layer4,111,0.406314157,1.682159,bovid,1.3049244,salamander,0.30603907,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418191224,0.270089358,0.0303666,0.00742954
layer4,112,0.287755317,1.3732095,flamingo,1.097688,unicycle,0.25790766,aquatic bird,0.21566252,clothing,0.1757177,vehicle,0,0,0,0,0,0,0,0,0,0,0.298307061,0.271368206,0.028306305,0.022046447
layer4,113,0.189871357,0.2299165,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487826973,0.214146107,0.032615542,0.006306827
layer4,114,0.269998594,0.6332028,fabric,0.56365645,matter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523005962,0.129292995,0.004553914,0.007279873
layer4,115,0.328187964,2.0868347,crate,1.0650278,sundial,0.11905073,artifact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381849766,0.218932018,0.028157771,0.002928257
layer4,116,0.352844007,1.6821758,Norwegian Elkhound,1.428714,fur coat,1.2756644,pan flute,1.1558152,banana,1.0554159,Keeshond,0.6598582,stick,0,0,0,0,0,0,0,0,0.33998543,0.287945122,0.016674101,-0.004852057
layer4,117,0.458471279,3.0372856,shoe,2.3124201,clogs,0.30892196,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403442293,0.354411215,0.066457152,0.016543984
layer4,118,0.330155034,1.9375893,broccoli,1.4255116,guacamole,1.067347,frog,0.99358195,Papillon,0.18583457,canine,0,0,0,0,0,0,0,0,0,0,0.34534061,0.365768939,0.055541515,0.044885218
layer4,119,0.214370416,1.0105637,fungus,0.17265326,organism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578150034,0.192638144,0.061747551,0.020886421
layer4,120,0.449543581,2.762277,giant panda,2.6465664,space shuttle,2.4046261,crossword,2.3679595,magpie,1.2993333,waterfowl,0,0,0,0,0,0,0,0,0,0,0.49827081,0.355715185,0.029366016,0.007118762
layer4,121,0.329847821,1.5616366,turnstile,0.7271134,gymnastic apparatus,0.42315683,furniture,0.14532225,bird,0,0,0,0,0,0,0,0,0,0,0,0,0.352585644,0.188007519,0.041774213,0.003985763
layer4,122,0.314861578,1.4407033,coral fungus,0.77209157,cruciferous vegetable,0.72506,leporid,0.64494246,antelope,0.21237588,clothing,0.174131,invertebrate,0,0,0,0,0,0,0,0,0.355096489,0.25906238,0.019667625,0.009889483
layer4,123,0.228070975,1.6201173,iPod,1.5388085,music speaker,1.0100665,camera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492610246,0.148246795,0.016979337,0.012079954
