layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,bias,sim correlation
layer4,249,0.2935154767159312,3.9771442,weapon,2.0075157,handkerchief,1.549765,bolo tie,1.1608809,wind instrument,0.3386530876159668,0.29344356060028076
layer4,250,0.2264385968066033,2.9561255,handrail,2.6983714,high-speed train,2.2430902,pencil case,1.8003628,dam,0.5156023502349854,0.2648085951805115
layer4,251,0.3425845916973961,1.7462558,pard,1.6567059,cheetah,1.4887434,big cat,0.7193765,leopard,0.3631656765937805,0.3376220166683197
layer4,252,0.4979612351843785,9.1311245,chain-link fence,3.116537,cage,1.9025996,yurt,1.8845646,big cat,0.4137329459190368,0.44639745354652405
layer4,253,0.2900728075069662,5.406212,shower curtain,4.3272467,art,3.6905658,jigsaw puzzle,2.4072192,handkerchief,0.4311360120773315,0.2694076895713806
layer4,254,0.270549918204472,3.4653788,mask,2.7191548,baby bib,2.043219,carved pumpkin,1.8030344,neck brace,0.4009109139442444,0.3017931580543518
layer4,255,0.3467317639119258,3.163023,fastener,2.9903538,hand tool,1.7797565,whistle,1.3815295,beating-reed instrument,0.2862525880336761,0.3075762689113617
layer4,256,0.5225058130562329,5.983028,snow,3.1343174,snowfield,3.102095,ski,2.2382581,skiing,0.4048713445663452,0.574539065361023
layer4,257,0.4263076307663672,3.051666,habitat,3.0042431,corn,2.523483,bittern bird,2.3203137,stalk,0.3867740035057068,0.39740562438964844
layer4,258,0.3687830890532904,4.7516623,picket fence,2.3773174,king penguin,2.1242933,indri,1.8063974,coral fungus,0.4357858598232269,0.3653072416782379
layer4,259,0.5301816094863923,2.5588946,hamster,2.5415692,rodent,2.3559933,mammal,1.8897973,rabbit,0.316953957080841,0.5197658538818359
layer4,260,0.3477563492568395,4.683215,locker,4.060746,shower,4.0219364,window screen,2.6186805,toilet,0.4595021903514862,0.3081112802028656
