layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,bias,sim correlation
layer4,113,0.2554531407722563,1.2459196,branch,0.69398826,pair,0.6102444,bird,0.5790199,woodwind,0.5269967,bird-watcher,0.452625572681427,0.2724706828594208
layer4,114,0.358844183861076,4.582771,wrap,4.0737405,entree,3.9421122,dessert,3.4983408,pocket,2.609507,gadget,0.4503913521766662,0.36934006214141846
layer4,115,0.3575558262440462,4.4897823,wood,2.527379,maze,2.4485812,crate,2.4085004,basket,1.9947809,crossword,0.3761943280696869,0.3697185516357422
layer4,116,0.3866619749598062,5.0793967,drumstick,2.5252855,fur coat,2.2485337,Norwegian Elkhound,2.0061123,banana,1.7462292,tiger,0.3089815974235534,0.33151769638061523
layer4,117,0.4677729878467111,8.859161,shoes,2.192881,holster,1.7728119,borzoi,1.5071791,beak,1.169183,finch,0.3492182791233063,0.4791165888309479
layer4,118,0.3389700324436144,2.3337288,guacamole,1.9531051,frog,1.8767403,Basenji,1.7162497,broccoli,1.0428815,brocolli,0.3488545417785644,0.3581545054912567
layer4,119,0.3774300855588104,6.670311,park,2.6887138,yard,2.10111,anthozoan,1.9595888,fungus,1.252427,amphibian,0.5208024382591248,0.38656410574913025
layer4,120,0.4432990554732932,3.6109385,crossword,3.4453132,space shuttle,3.3363535,magpie,3.1009493,giant panda,2.4279964,red-breasted merganser,0.4623636305332184,0.3707261085510254
layer4,121,0.3636352073286443,2.4329662,chair,2.4015973,handrail,2.3042166,bench,1.9029708,bird feeder,1.5816488,turnstile,0.3230271935462951,0.32262706756591797
layer4,122,0.2887863035851217,2.0584726,feather,1.9399135,attire,1.6291406,hare,1.6009632,coral fungus,1.5734748,brushes,0.3439270257949829,0.2889646589756012
layer4,123,0.2419858439962955,4.786136,disk,2.2204332,opener,1.8611914,frog,1.8000408,chameleon,1.118731,hard disk drive,0.4311470091342926,0.2526223063468933
layer4,124,0.402150066007763,4.315389,motor vehicle,4.2409935,house,2.6881568,motorcar,2.3940175,mobile home,1.9225557,gondola,0.4341082572937011,0.3613477647304535
layer4,125,0.3062788712396812,2.8773527,supporting structure,2.8347569,row,2.1455545,livestock,1.2881099,rotisserie,1.2666354,slide rule,0.3063922226428985,0.31319308280944824
layer4,126,0.3195786610990352,1.2926365,Irish Setter,0.92496985,brussels griffon,0.7786982,toy spaniel,0.61737347,Cocker Spaniel,0.3917508,spaniel,0.3170068860054016,0.35777121782302856
layer4,127,0.2696267771748852,4.0339785,corn field,3.5537415,picket fence,2.473039,closet,2.3937516,brushes,2.0958035,hare,0.4060020744800567,0.28769931197166443
layer4,128,0.4391037537632821,3.3010762,printer,2.9520864,impala,2.5102088,photocopier,2.3868513,cougar,1.9654448,dingo,0.521916389465332,0.35122960805892944
layer4,129,0.4754772493005956,8.140318,tank-top,7.336464,athlete,7.0744367,swimsuit,6.675758,housewife,2.3062973,marsupial,0.4992617964744568,0.47606009244918823
layer4,130,0.417688382411846,5.0787363,garb,3.9877744,apiary,2.5370684,fishing,1.8930762,beating-reed instrument,1.2134203,soft-finned fish,0.4493656158447265,0.35798129439353943
layer4,131,0.3314095193591603,3.4887679,mosquito net,3.2062924,water bottle,3.0118017,glass,2.8109272,motor vehicle,1.7676207,plastic,0.3769849836826324,0.3304436504840851
layer4,132,0.3760872865456629,2.953053,shopping cart,2.1297936,prayer rug,1.5389202,dragonfly,1.5194181,garter snake,1.3917326,odonate,0.324599415063858,0.3389151096343994
layer4,133,0.3592201884057293,5.179399,counter,4.8331695,toy store,4.788046,sign,4.1957765,collection,3.3071008,bookstore,0.5325194597244263,0.3100012242794037
layer4,134,0.1923503282923492,2.454762,scooter,2.3420327,hoop skirt,1.9465868,stupa,1.730399,utensil,1.6081244,tricycle,0.4920385479927063,0.23202267289161682
layer4,135,0.5842386724233699,6.3160625,pond,5.8256955,kayak,5.220365,swimming,4.7366133,retriever,2.3395693,aquatic bird,0.4471697807312011,0.5786948204040527
layer4,136,0.4496226259580003,3.4765546,snowfield,3.2085702,dogsled,2.0266318,skiing,1.7746269,snowmobiling,1.6090121,ski,0.3282058835029602,0.5176506638526917
layer4,137,0.4507938009753824,5.596408,researcher,4.0650964,medicine,3.255726,neonate,2.997576,clothes iron,2.1093817,photocopier,0.4127613604068756,0.3257775604724884
layer4,138,0.246989557040747,2.3962686,pillar,2.2310266,megalith,2.0702827,milk can,1.8644273,pail,1.4129323,Kerry Blue Terrier,0.389735609292984,0.2890031933784485
layer4,139,0.4081726000758218,3.5133958,thatched roof,1.7702479,zoo,1.6364776,mammal,1.1176076,marsupial,0.9596163,primate,0.4334869980812073,0.41918474435806274
layer4,140,0.5707630875675543,6.9010544,bird of prey,3.9145818,golf ball,3.6548498,african grey parrot,3.1981654,fowl,3.0956593,parrot,0.3762358725070953,0.586332380771637
layer4,141,0.3740337404769539,2.2651155,crocodile,2.2008305,corn cob,1.5577981,scaly,1.4290934,snow leopard,1.3463281,sidewinder rattlesnake,0.2475480735301971,0.359605610370636
layer4,142,0.329294555978798,3.299666,formal,3.0408576,knife-edge,2.506383,kayak,2.398385,pen,2.2977736,seat belt,0.3387598693370819,0.30687543749809265
layer4,143,0.2947016063701558,2.7126086,kit,2.5435905,gadget,2.4092271,plectrum,2.306584,toy,1.7185203,toaster,0.4374164044857025,0.28711849451065063
layer4,144,0.3690566627669313,2.9093513,carbonara,2.7862663,hot dog,2.3588364,gymnast,2.0239787,Beagle,1.6836845,Boston Terrier,0.3649230599403381,0.4072825014591217
layer4,145,0.2709028997290972,3.215066,vibraphone,3.118093,table,2.141543,Siamese cat,1.6909697,train,1.6294587,high-speed train,0.4592113494873047,0.33556148409843445
layer4,146,0.3524440775412291,4.391898,shoes,2.8713279,cowboy boot,1.4605693,gondola,1.2977263,car mirror,0.75877875,Sealyham Terrier,0.390677809715271,0.33756735920906067
layer4,147,0.2815711412024164,3.012307,angiosperm,2.0895317,tradition,1.9358679,flower,1.7204796,puzzle,1.5679059,crossword,0.4038619101047516,0.3178763687610626
layer4,148,0.403087948697801,2.3637712,worm snake,2.244106,garbage truck,1.7508103,lemur,1.4809744,musteline mammal,0.861731,ring-tailed lemur,0.334707647562027,0.3694016635417938
layer4,149,0.7059252628990659,6.2045126,diving,5.417835,aquarium,4.495367,anthozoan,3.8185103,snorkel,2.05642,cartilaginous fish,0.5483570694923401,0.712000846862793
layer4,150,0.4354256796849801,4.78565,park,4.744725,sport,3.9113433,water tower,3.6339064,helmet,2.4919062,geyser,0.4866997003555298,0.43390947580337524
layer4,151,0.400512068883627,2.8465846,chord,2.1652994,brass,1.7708471,brushes,1.718047,macro,0.77278125,lemur,0.2667547166347503,0.42125025391578674
layer4,152,0.3505531570681536,6.7818017,iridescence,4.35954,peacock,2.928718,bubble,2.3164885,diving,1.8679382,indigo bunting,0.5357575416564941,0.33198460936546326
layer4,153,0.3848165845178484,5.826737,signal,5.5268416,table lamp,2.4071465,espresso machine,2.201531,umbrella,1.4674947,unicycle,0.3473627865314483,0.35284850001335144
layer4,154,0.4335514091811668,3.2134452,shawl,2.781076,knitted,2.3938575,poncho,1.6766284,diving,1.2031201,invertebrate,0.365662157535553,0.4323000907897949
layer4,155,0.5250194172695857,9.174987,storage,6.4570827,box,4.606347,apiary,4.4919014,computer,3.5897372,photocopier,0.5267583727836609,0.5008304715156555
layer4,156,0.5082405089984042,2.567645,Tibetan Mastiff,2.5129092,Alaskan Malamute,2.4293969,chow,2.3197932,collie,2.2622721,spitz,0.36806520819664,0.4915538728237152
layer4,157,0.3612580423338851,5.6034245,plate,4.248059,toilet seat,4.215764,wheel,3.8344686,gong,2.6671183,potter's wheel,0.4181514382362366,0.35968440771102905
layer4,158,0.4239532524681542,5.7752304,library,4.079141,handful,3.1003366,hatchling,2.5657675,habitat,1.011405,new world monkey,0.4662865698337555,0.44023722410202026
